Date,Total,Daily
2/10/2020,1,1
2/11/2020,1,0
2/12/2020,1,0
2/13/2020,1,0
2/14/2020,1,0
2/15/2020,1,0
2/16/2020,1,0
2/17/2020,1,0
2/18/2020,1,0
2/19/2020,1,0
2/20/2020,2,1
2/21/2020,2,0
2/22/2020,3,1
2/23/2020,4,1
2/24/2020,5,1
2/25/2020,5,0
2/26/2020,5,0
2/27/2020,5,0
2/28/2020,5,0
2/29/2020,5,0
3/01/2020,7,2
3/02/2020,9,2
3/03/2020,10,1
3/04/2020,11,1
3/05/2020,17,5
3/06/2020,22,5
3/07/2020,25,3
3/08/2020,34,9
3/09/2020,42,8
3/10/2020,47,5
3/11/2020,56,9
3/12/2020,70,14
3/13/2020,92,20
3/14/2020,108,16
3/15/2020,135,27
3/16/2020,150,15
3/17/2020,171,21
3/18/2020,185,14
3/19/2020,210,25
3/20/2020,230,18
3/21/2020,251,20
3/22/2020,278,26
3/23/2020,299,20
3/24/2020,316,13
3/25/2020,340,22
3/26/2020,353,10
3/27/2020,371,13
3/28/2020,397,25
3/29/2020,413,11
3/30/2020,435,15
3/31/2020,450,12
4/01/2020,477,16
4/02/2020,496,10
4/03/2020,519,18
4/04/2020,535,7
4/05/2020,564,15
4/06/2020,582,7
4/07/2020,601,12
4/08/2020,622,8
4/09/2020,648,13
4/10/2020,678,10
4/11/2020,712,8
4/12/2020,745,12
4/13/2020,760,4
4/14/2020,800,10
4/15/2020,827,10
4/16/2020,896,17
4/17/2020,934,6
4/18/2020,969,8
4/19/2020,985,4
4/20/2020,1042,14
4/21/2020,1077,12
4/22/2020,1119,10
4/23/2020,1163,12
4/24/2020,1196,4
4/25/2020,1303,6
4/26/2020,1373,12
4/27/2020,1436,13
4/28/2020,1471,10
4/29/2020,1502,8
4/30/2020,1528,12
5/01/2020,1554,8
5/02/2020,1573,7
5/03/2020,1597,9
5/04/2020,1615,5
5/05/2020,1643,2
5/06/2020,1665,5
5/07/2020,1686,6
5/08/2020,1695,2
5/09/2020,1710,3
5/10/2020,1716,3
5/11/2020,1727,3
5/12/2020,1745,3
5/13/2020,1753,6
5/14/2020,1753,0
